kaminokoike                      
3                      
x           z           N
0           0.25           0.021518
0           0.5           0.034901
0           0.75           0.071481
0           1           0.028493
0           1.25           0.100201
0           1.5           0.024307
0           1.75           0.051464
0           2           0.058185
0           2.25           0.049108
0           2.5           0.146777
20           0.25           0.005909
20           0.5           0.11727
20           0.75           0.036257
20           1           0.104301
20           1.25           0.005266
20           1.5           0.033336
20           1.75           0.033539
20           2           0.014728
20           2.25           0.047448
20           2.5           0.049152
20           2.75           0.123503
20           3           0.043223
20           3.25           0.001532
20           3.5           0.04767
20           3.75           0.003397
20           4           0.147268
20           4.25           0.036014
20           4.5           0.145983
20           4.75           0.063861
20           5           0.018555
20           5.25           0.083565
20           5.5           0.06809
20           5.75           0.058212
20           6           0.000343
20           6.25           0.124537
20           6.5           0.041854
20           6.75           0.028353
20           7           0.272609
22           0.25           0.110582
22           0.5           0.061262
22           0.75           0.070866
22           1           0.042845
22           1.25           0.03096
22           1.5           0.008477
22           1.75           0.010573
22           2           0.010607
22           2.25           0.035456
22           2.5           0.008893
22           2.75           0.026854
22           3           0.026368
22           3.25           0.095554
22           3.5           0.002973
22           3.75           0.023779
22           4           0.000409
22           4.25           0.029604
22           4.5           0.056351
22           4.75           0.044323
22           5           0.003853
22           5.25           0.012147
22           5.5           0.028631
22           5.75           0.196179
22           6           0.04255
22           6.25           0.035735
22           6.5           0.049737
22           6.75           0.010159
22           7           0.038925
22           7.25           0.01813
22           7.5           0.039779
22           7.75           0.078221
22           8           0.025193
24           0.25           0.008723
24           0.5           0.050387
24           0.75           0.049051
24           1           0.021692
24           1.25           0.006516
24           1.5           0.014698
24           1.75           0.013146
24           2           0.021337
24           2.25           0.007702
24           2.5           0.001859
24           2.75           0.03143
24           3           0.020902
24           3.25           0.028606
24           3.5           0.071738
24           3.75           0.063329
24           4           0.059077
24           4.25           0.026552
24           4.5           0.029532
24           4.75           0.074427
24           5           0.137983
24           5.25           0.025732
24           5.5           0.012853
24           5.75           0.019625
24           6           0.05186
24           6.25           0.009691
24           6.5           0.04005
24           6.75           0.041805
24           7           0.016872
24           7.25           0.144697
24           7.5           0.062312
24           7.75           0.01822
24           8           0.06781
24           8.25           0.058906
24           8.5           0.056515
24           8.75           0.02661
28           0.25           0.05097
28           0.5           0.053295
28           0.75           0.034745
28           1           0.088024
28           1.25           0.093505
28           1.5           0.034083
28           1.75           0.036283
28           2           0.013828
